Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4189945502,https://www.linkedin.com/jobs/view/4189945502,Pending,2025-03-24 13:51:38.365783,2025-04-07 13:51:38.400340,Found a Bad Word in About Job,"
About the job
Who We Are
The Friend Club (TFC) is revolutionizing the way engaged couples connect & discover top wedding vendors and inspiration. The wedding industry is over $200bn globally and incumbents are mass market players with no relevance to today's consumer. TFC has built a global, vetted network of top wedding vendors & brands to deliver a seamless, curated solution for couples - ultimately, streamlining the planning process. Thousands of couples are using our platform and we know we are barely scratching the surface of our potential! TFC is available to anyone through our webapp online - www.thefriendclub.com

What We're Looking For
TFC is seeking a highly skilled and motivated engineer with full stack development experience to join our team. You will be a lead / founding member of our engineering team working side by side with our founders, helping us further scale our team. Your primary responsibility will be to help build and scale our iOS app and Node.js backend from the ground up, contributing to all aspects of the development process from user research, marketing, data, design, and product to build the highest-priority features. You’ll conceptualize, design, build, and maintain complex services/platforms/features and develop ownership over our product + infrastructure. You’ll play a critical role in shaping our engineering and broader company culture to help make TFC a happy and fun place to work. You'll build core product features and infrastructure, shipping code daily and iteratively as a trail-blazer, always building for the newest technologies. This is a unique opportunity to shape the future of a product that will be a first mover in the wedding industry.

What You Bring
Startup mentality — You LOVE to work and are highly passionate (even slightly neurotic) about it. You believe in rapid iteration, failing and continuously learning from our users to improve. You understand the tradeoffs of limited startup resources and time to market. You love what you're working on, and are deeply ingrained in solving the problem. A track record of building and scaling mobile applications in a fast-paced environment is needed for this role.

Ownership of the end-to-end experience — You will define the product roadmap and architecture alongside our founders. You will be empowered to take ownership and make instant impact to the product. You will bring learnings and ideas to every discussion, and always represent the voice of our users. You fix problems when you see them, even if it's not your task, constantly contributing to make every user experience feel beautiful and improving the ecosystem for the next engineer that views the code.

Engineer — You’ll be responsible for all aspects of engineering, from implementing beautiful UI/UX, designing data models, analytics and tracking, running db migrations, improving code quality and CI/CD. You'll be responsible for helping to improve the architecture and to continue modernizing the stack, as well as enforcing best practices and a high quality of output.

Impact-driven product thinker — You will be involved in every aspect of the product development process, from prioritization & scoping to implementation. You will constantly need to weigh the need to invest in long-term improvements against the urgency of getting features out the door. We’ll rely on your judgement and leadership.
TFC is a startup. This role is truly a grind/hustle role where you will need to roll up your sleeves and be excited to build and ship products in a timely manner. We are a lean team where you will need to be scrappy with limited resources.

Qualifications
7+ years professional engineering experience (2+ years at a startup is highly desirable or launched ambitious projects of your own!)
Proven experience as an iOS engineer with expertise in Swift, UIKit, and SwiftUI
Built and shipped consumer-facing apps—ideally in social/dating.
Experience with distributed, multi-tiered web systems, and relational databases
Proficiency in at least one modern programming language (JavaScript, Python, Ruby, Java, etc.), preferably JavaScript/TypeScript (the more the better)
Experience with cloud services, ideally AWS and infrastructure setup, or alternatively one of the other major providers (Azure, Cloudflare)
Strong backend knowledge with experience in Node.js/TypeScript or Rust with a strong understanding of database connectivity
Knowledge in machine learning, including search, ranking, classification, natural language processing, and image recognition -Knowledge of source control like Github and data analytics tools such as Metabase, Amplitude, GA4, and Looker
Ability to thrive in a fast-paced and ever-changing startup environment
Exceptional collaboration skills, as you will be working with every team member very closely
Willingness to work outside of traditional hours in order to see sprints to fruition (including weekends)

Why Join Us!
Competitive salary ($120,000-$180,000)
Company equity (1-3%)
3 weeks PTO + health days
US remote - Los Angeles preferred

If you’re an experienced engineer with a passion for building meaningful products and a desire to make a difference, we’d love to hear from you.

We'd Love To See
The most impressive thing you’ve built.
Links to repos, projects, or anything that shows your skills

This is more than just a job; it’s a chance to be part of something truly special from the ground up.

TFC is an equal opportunity employer and does not discriminate on the basis of race, color, gender, religion, age, sexual orientation, national or ethnic origin, disability, marital status, veteran status, or any other occupationally irrelevant criteria.

Contains bad word ""Ruby"". Skipping this job!
",Skipped,Not Available
4180617089,https://www.linkedin.com/jobs/view/4180617089,Previous resume,2025-03-17 13:51:50.310301,2025-04-07 13:51:56.728614,Problem in Easy Applying,"Message: unknown error: ChromeDriver only supports characters in the BMP
  (Session info: chrome=134.0.6998.166)
Stacktrace:
0   chromedriver                        0x00000001010136c8 cxxbridge1$str$ptr + 2791212
1   chromedriver                        0x000000010100bc9c cxxbridge1$str$ptr + 2759936
2   chromedriver                        0x0000000100b5de30 cxxbridge1$string$len + 92928
3   chromedriver                        0x0000000100bdcc6c cxxbridge1$string$len + 612668
4   chromedriver                        0x0000000100b9fcfc cxxbridge1$string$len + 362956
5   chromedriver                        0x0000000100b9ebbc cxxbridge1$string$len + 358540
6   chromedriver                        0x0000000100b9a818 cxxbridge1$string$len + 341224
7   chromedriver                        0x0000000100be65f8 cxxbridge1$string$len + 651976
8   chromedriver                        0x0000000100b992fc cxxbridge1$string$len + 335820
9   chromedriver                        0x0000000100fd86c4 cxxbridge1$str$ptr + 2549544
10  chromedriver                        0x0000000100fdb988 cxxbridge1$str$ptr + 2562540
11  chromedriver                        0x0000000100fb871c cxxbridge1$str$ptr + 2418560
12  chromedriver                        0x0000000100fdc1e8 cxxbridge1$str$ptr + 2564684
13  chromedriver                        0x0000000100fa9750 cxxbridge1$str$ptr + 2357172
14  chromedriver                        0x0000000100ffbf58 cxxbridge1$str$ptr + 2695100
15  chromedriver                        0x0000000100ffc0e0 cxxbridge1$str$ptr + 2695492
16  chromedriver                        0x000000010100b910 cxxbridge1$str$ptr + 2759028
17  libsystem_pthread.dylib             0x0000000195999f94 _pthread_start + 136
18  libsystem_pthread.dylib             0x0000000195994d34 thread_start + 8
",Easy Applied,Not Available
4178415350,https://www.linkedin.com/jobs/view/4178415350,Pending,2025-03-08 13:52:44.971263,2025-04-07 13:52:45.008447,Found a Bad Word in About Job,"
About the job
Senior Full-Stack Software Engineer
Aevum is an American technology company that designs, develops, and provides autonomous air, space, and package transportation technologies. The company focuses on autonomous technologies, rapid logistics, e-commerce, cloud computing, and artificial intelligence.
 We are an early-stage aerospace logistics company looking for a bright and motivated Senior Full-Stack Software Engineer to join our team. You will work closely with our Chief Software Architect (12+ years of Silicon Valley experience) to design and build the core frameworks and architecture that power our operations. This role is for someone with around 4-7 years of experience, though we value the quality of experience over the number of years. 

What You’ll Do
Work closely with the Chief Software Architect to build the core frameworks and architecture that will power the company's operations, with a particular focus on the prototyping and proof-of-concept phase of development 
Develop and maintain web applications, internal tools, and backend systems that are scalable, maintainable, and future-proof 
Contribute to defining and evolving our software architecture, with an emphasis on flexibility and long-term sustainability while meeting immediate needs 
Collaborate on setting best practices for code quality, testing, and deployment, ensuring we build on a strong foundation as we scale 
Tackle a wide range of core company problems, gaining a close-up view of key challenges and helping to shape the direction of the company's technical solutions through clean, efficient, and reliable code 
Work across the full stack, iterating quickly to turn early-stage concepts into functional, production-ready solutions 

What We’re Looking For
Strong generalist software engineering skills, with a solid understanding of data structures, algorithms, and software design principles 
Ability to work across the stack (front-end, back-end, with at least some experience with infrastructure and security)
A preference for libraries and frameworks with powerful primitives over ""magical"" solutions (e.g., SolidStart or Remix over Next.js, FastAPI or Flask over Django or Rails) 
Ability to write code quickly and efficiently—whether through proficiency with AI coding assistants or sufficient manual speed—since we have many projects in the prototyping and proof-of-concept stage
Willingness to learn and adapt to new technologies as needed 
Ability to take ownership of projects and work independently while collaborating closely with the team 
Experience with Python and JavaScript
This role will involve little to no low-level or embedded programming, though some experience there could be useful for integrations 

Preferred
Experience with SolidJS (preferred) or other modern frontend frameworks 
Familiarity with cloud infrastructure, databases, or DevOps practices 
Interest in aerospace, logistics, or operations research 
Basic product and design sensibilities, with an ability to think about user experience and intuitive workflows

Contains bad word ""Embedded Programming"". Skipping this job!
",Skipped,Not Available
4197382897,https://www.linkedin.com/jobs/view/4197382897,Pending,2025-03-31 13:53:22.916705,2025-04-07 13:53:22.947712,Found a Bad Word in About Job,"
About the job
JOB Details: 
Job title: Java and Kotlin with React Full Stack Developer (Only W2)
 Duration: 4+ Months
 Location: Mountain View, CA(Hybrid)

Job Description:

Hiring Manager Notes:
 Java and Kotlin with React Full Stack Developer
 feature enhancement and feature development
 Duration: Will be extended
  Coding Interview on Java or Kotlin and System Design son react questions as well

Only W2 and NO C2C

Responsibilities:
Come join the QB Live Team as a Staff Software Engineer. You will be working with the Expertise team. This customer-centric team works on providing our Small Business customers with access to world-class Experts and Accountants using the QuickBooks Platform. You will be responsible for developing the software to serve millions of Small Businesses across the world, and software to help Bookkeepers serve them. You will be developing a Single Page Application using the latest Java, Kotlin, React, JavaScript, CSS, and HTML technologies. This position requires strong software engineering skills. If you love solving real-world challenges and making customers happy while fostering your desire to write perfect code and user experience, this is the job for you. Along with coding, you will be responsible for working with product managers, backend developers, and designers on our agile team structure. We love product engineers who lead the charge, communicate with customers and deliver the most beautiful, Client application.
Responsibilities
• Architecting and developing web, software, mobile apps, prototypes, or proofs of concepts (POC)
• Leading the gathering of functional requirements, developing technical specifications, and project & test planning
• Acting as the technical subject matter expert: Mentoring fellow engineers, demonstrating technical expertise, and leading a small team solving challenging programming and design problems
• Roughly 40-60% hands-on coding
• Generate technical documentation and PowerPoint presentations to communicate architectural and design options, and educate development teams and business users
• Resolve defects/bugs during QA testing, pre-production, production, and post-release patches
• Work cross-functionally with various Client teams including: product management, QA/QE, various product lines, and/or business units to drive forward results
• Demonstrate a passion for developing well architected, elegant, web and/or mobile apps
• Experience with Agile Development, SCRUM, or Extreme Programming methodologies
Skills: 
• 8+ years experience designing and developing web, software, or mobile applications
• Strong leadership experience: Leading meetings, presenting, technical go to person, and cross-functional leader
• Expertise with any of the following Object Oriented Languages (OOD): Java/J2EE, C#, VB.NET, Python, or sometimes C++
• Expertise with the entire Software Development Life Cycle (SDLC)
• 3+ years experience with web services (consuming or creating) with REST or SOAP
• Excellent communication skills: Demonstrated ability to explain complex technical issues to both technical and non-technical audiences
• Expertise in the Software design/architecture process
• Expertise with unit testing & Test Driven Development (TDD)
• Business Acumen - strategic thinking & strategy development
• Building strong teams - set and evangelize vision, facilitative leadership, attract and retain key talent

Contains bad word ""No C2C"". Skipping this job!
",Skipped,Not Available
623237284,https://www.linkedin.com/jobs/view/623237284,Pending,Unknown,2025-04-08 15:15:22.735176,Asking for Security clearance,"
About the job
Senior Systems Engineer at NRO - Advanced Signals Intelligence (SIGNT) and Electronic Attack (EA)

CSI Consultants is a small, close-knit Team that puts our people first and focuses on Camaraderie. We offer professional, challenging and innovative work in a flexible environment, and we do everything possible to eliminate the admin BS. It's time for you to escape the impersonal, large-company dynamic and join us!

Position Description: Provide systems engineering and technical assistance (SETA) support to development of advanced SIGINT, Electronic Warfare (EW) and EA capabilities at the National Reconnaissance Office (NRO)
Identify National Overhead Systems capabilities that could benefit the Navy EA-18G Growler, the F-35 Lightning and USMC Intrepid Tiger II communities
Originate concepts/plans for Navy, USMC and Joint programs to incorporate innovative National Overhead Systems data and technologies to enhance mission capabilities
Plan and execute proof of concept demonstrations for U.S. Indo-Pacific Command (USINDOPACOM), OSD, the Joint Staff, ONR, MCWL and service TENCAPs
Liaise with OPNAV, HQ USMC, USINDOPACOM, PACFLT, MARFORPAC and other organizations to obtain advocacy and document requirements for future capabilities
Provide technical support to enable U.S. (and disrupt adversary) long-range Kill Chains
Provide Subject Matter Expertise to integrate and test capabilities that utilize National data and capabilities into Navy, USMC and Joint platforms, systems & operations

Required:
Operational or technical experience with SIGINT and/or EA jamming capabilities and missions
Experience supporting DoD programs to develop, test and transition innovative capabilities into operations
Familiarity with the DoD requirements and/or acquisition processes
Independent, Forward-Thinker who is also Team Oriented
Current Top Secret/SCI clearance or eligible in NISS. (If selected, CI Polygraph will be required)

Desired/Preferred Experience:
EA-18G Growler, EA-6B Prowler, EP-3, or Rivet Joint operational experience preferred
Intelligence or Cryptologic operational experience, esp. in support of long-range fires
Advanced Anti-Radiation Guided Missile (AARGM) or HARM operational experience
Combat Operations experience, esp. involving EA, jamming and Cyber capabilities
Electrical Engineering and/or RF Engineering subject matter expertise
Familiarity with Navy, USMC and Joint EA jamming system developments (EA-18G Next Generation Jammer, JEACO Intrepid Tiger II and F-35 Programs)
Experience with Tactical Data Links and the Integrated Broadcast Service (IBS)
Information Warfare Coordination Center (IWCC) experience in MAGTF, AOC, MOC
Retired government/military or military reservist preferred

Salary commensurate with experience. 

Key Words: Electronic Attack (EA), Electronic Warfare (EW), SIGINT, EA-18G Growler, F-35 Lightning, EA-6B Prowler, AARGM, EP-3, Rivet Joint, Intrepid Tiger II, Link-16, IBS, SCI

CSI Consultants was formed in 1999 to solidify our focus of making national systems information and capabilities accessible and usable by DoD tactical users in their combat systems and platforms. We employ great people with proven experience and offer an innovative Pay Approach which includes company profit-sharing contributions to your 401(k) of 25% of your wages.

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
4203509256,https://www.linkedin.com/jobs/view/4203509256,resume.pdf,Unknown,2025-04-08 19:44:12.257954,Problem in Easy Applying,"Message: stale element reference: stale element not found in the current frame
  (Session info: chrome=134.0.6998.166); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
0   chromedriver                        0x00000001014736c8 cxxbridge1$str$ptr + 2791212
1   chromedriver                        0x000000010146bc9c cxxbridge1$str$ptr + 2759936
2   chromedriver                        0x0000000100fbde30 cxxbridge1$string$len + 92928
3   chromedriver                        0x0000000100fc3c58 cxxbridge1$string$len + 117032
4   chromedriver                        0x0000000100fc5cfc cxxbridge1$string$len + 125388
5   chromedriver                        0x0000000100fc5da4 cxxbridge1$string$len + 125556
6   chromedriver                        0x000000010100ab28 cxxbridge1$string$len + 407544
7   chromedriver                        0x0000000101008d78 cxxbridge1$string$len + 399944
8   chromedriver                        0x0000000101006f8c cxxbridge1$string$len + 392284
9   chromedriver                        0x0000000101006388 cxxbridge1$string$len + 389208
10  chromedriver                        0x0000000100ffb120 cxxbridge1$string$len + 343536
11  chromedriver                        0x0000000100ffa818 cxxbridge1$string$len + 341224
12  chromedriver                        0x00000001010465f8 cxxbridge1$string$len + 651976
13  chromedriver                        0x0000000100ff92fc cxxbridge1$string$len + 335820
14  chromedriver                        0x00000001014386c4 cxxbridge1$str$ptr + 2549544
15  chromedriver                        0x000000010143b988 cxxbridge1$str$ptr + 2562540
16  chromedriver                        0x000000010141871c cxxbridge1$str$ptr + 2418560
17  chromedriver                        0x000000010143c1e8 cxxbridge1$str$ptr + 2564684
18  chromedriver                        0x0000000101409750 cxxbridge1$str$ptr + 2357172
19  chromedriver                        0x000000010145bf58 cxxbridge1$str$ptr + 2695100
20  chromedriver                        0x000000010145c0e0 cxxbridge1$str$ptr + 2695492
21  chromedriver                        0x000000010146b910 cxxbridge1$str$ptr + 2759028
22  libsystem_pthread.dylib             0x0000000195999f94 _pthread_start + 136
23  libsystem_pthread.dylib             0x0000000195994d34 thread_start + 8
",Easy Applied,Not Available
4203548440,https://www.linkedin.com/jobs/view/4203548440,Pending,Unknown,2025-04-08 19:49:36.220402,Found a Bad Word in About Job,"
About the job
InnovoCommerce is a leading SaaS provider of AI-augmented eClinical solutions for the global life sciences industry. Today, some of the largest pharmaceutical firms in the world use our enterprise platform for their clinical trials. We are seeking an experienced Frontend Software Engineer with some backend experience that will play a pivotal role in developing our AI application, Innovo Copilot. The ideal candidate will have a proven track record in implementing responsive frontend code with best practices for SaaS platforms as well as have work experience in .NET backend development.
 Responsibilities:
Collaborate with cross-functional teams to discern project needs and identify best-suited solutions.
Implement responsive front-end code that ensures a seamless user experience across various devices and browsers.
Ensure adherence to best practices in development & implementation (i.e. follow standard architecture)
Work closely with the development team to integrate with the application backend (Azure technologies & .NET framework), DB, AI API, etc.
Commute to the office when necessary for in-person collaboration (SoCal location necessary)
 Requirements:
4+ years of professional experience with frontend development on SaaS applications with some backend development experience
JavaScript and TypeScript (strong typing)
CSS
HTML5
Recent Angular Framework experience (version 15 or newer)
Knowledge of common architectural patterns like MVVM, MVC, message broker, publish-subscribe, and SOLID
Experience with Open ID Connect/OAuth2
Unit testing
 Desired:
Experience with .NET backend (C#)
SQL
Microsoft Azure services (AD B2C/Entra ID, App Services, Blob Storage, Queue Storage)
Angular signals
 Benefits:
Hybrid position
Health Insurance
Dental Insurance
Vision Insurance
PTO
 InnovoCommerce is an equal opportunity employer; all employment decisions are made on the basis of qualifications, merit, and business need.

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4202346637,https://www.linkedin.com/jobs/view/4202346637,Pending,Unknown,2025-04-08 19:49:58.687182,Found a Bad Word in About Job,"
About the job
About Grace
At Grace, we’re on a mission to improve cost accuracy for the construction industry. To achieve this, we’re reimagining what the pricing experience should look like for construction and infrastructure delivery. We’re a team that takes on hard, messy problems with fresh perspectives. We prioritize building strong foundations over quick hacks, and we don’t shy away from challenges. Since our launch in November 2024, users have completed over 3,600 estimations totaling $247M in value using Grace. We've also been featured by BuiltWorlds, one of the leading voices in construction technology.


About the role
We’re hiring a Founding Engineer – Frontend Focus to join us on this journey. This is a foundational role that will shape not just the product, but the engineering culture and processes as we grow. You’ll help define our technical direction, influence architectural decisions, and help establish the bar for execution speed and code quality.
This role is ideal for someone who thrives in early-stage environments and wants to build core systems from the ground up—while contributing to team growth, values, and product direction.


What we are looking for 
You are a full stack engineer with a deep strength in frontend development. You're passionate about building intuitive, fast, user-friendly web apps. You enjoy solving complex problems and turning abstract ideas into elegant software. If you’ve worked on 0-to-1 product development, that’s a huge plus.


Technical skills:
Strong expertise in React and TypeScript
Solid understanding of data structures, relationships, and modeling
Comfortable contributing to both frontend and backend decisions (e.g. API design, data contracts)
Familiarity with Ruby on Rails is a plus


You might be a good fit if you:
Think like a builder—you love to code, ship, learn, and iterate quickly
Have strong system design skills and can break down complex specs into scalable architecture
Communicate clearly, collaborate well, and bring others into your thinking
Good instincts for when to prioritize speed versus long-term robustness


What we value
We care just as much about how we work as what we build. We're looking for someone who:
Is humble, kind, and collaborative—a true thought partner without ego
Cares about the whole team’s success, not just their own lane
Is hungry and resilient—ready to roll up their sleeves in a fast-paced, dynamic environment
Believes in seeking the truth, not being “right”
Finds meaning in creating tangible value for real users, not just chasing shiny headlines


Logistics
Full-time, contract basis first
Remote-friendly
Being located in the Bay Area is a strong plus


Our philosophy
We’ve seen firsthand how “growth at all costs” can derail a company. We’re building differently—focusing on long-term sustainability and customer value. Our goal is to create a profitable business where great people love the work they do, and where we retain control over how our product and company evolve.

If you're looking for a mission-driven environment where you can shape both the product and the culture—and if you’re motivated by solving real problems for real users—we’d love to meet you.

Contains bad word ""Ruby"". Skipping this job!
",Skipped,Not Available
4197129690,https://www.linkedin.com/jobs/view/4197129690,Pending,Unknown,2025-04-08 19:50:19.581160,Found a Bad Word in About Job,"
About the job
Title: Software Engineer III
Location: Santa Monica, California
Duration: 6 months
Compensation: $70.00-$80.00 hr
Work Requirements: US Citizen, GC Holders or Authorized to Work in the U.S.
 
Skillset / Experience:
  7+ years as a software engineer building and operating software at scale
Strong proficiency in Java programming language
Experience designing and implementing distributed systems with many service integrations
Proven experience defining a technical vision, and socializing it across an organization
Proven ability to communicate technical information to non-technical audiences
Experience playing League of Legends or VALORANT. Demonstrated famliarity with core game mechanics and around-game systems.
Experience with Spring Boot and GraphQL
Experience with dockerized development and deployment environments (AWS, Kubernetes)
Experience with API Gateway technologies
Experience with Business Process Automation frameworks (temporal.io, Camunda, etc)
Our benefits package includes: (EXCLUDE on perm placements)
Comprehensive medical benefits
Competitive pay, 401(k)
Retirement plan
…and much more!
About INSPYR Solutions


Technology is our focus and quality is our commitment. As a national expert in delivering flexible technology and talent solutions, we strategically align industry and technical expertise with our clients’ business objectives and cultural needs. Our solutions are tailored to each client and include a wide variety of professional services, project, and talent solutions. By always striving for excellence and focusing on the human aspect of our business, we work seamlessly with our talent and clients to match the right solutions to the right opportunities. Learn more about us at inspyrsolutions.com.
 
INSPYR Solutions provides Equal Employment Opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, INSPYR Solutions complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.


 
Desired Skills and Experience
SOFTWARE ENGINEER
SOFTWARE DEVELOPMENT
JAVA
SPRING BOOT
GRAPH QL
API

Contains bad word ""US Citizen"". Skipping this job!
",Skipped,Not Available
4193234167,https://www.linkedin.com/jobs/view/4193234167,Pending,Unknown,2025-04-08 19:51:39.262517,Found a Bad Word in About Job,"
About the job
We are a small company in the aerospace industry, developing and producing wiring testing system for qualifying the interconnection integrity of aerospace products, military systems. This job is 100% onsite and US citizen only.

Responsibilities
Develop desktop applications.
Analyze and maintain existing software applications.
Discover and fix programming bugs.
Customer support.

Qualifications
Bachelor's degree in Computer Science or Computer Engineering.
C++ and C#.
Embedded system (Linux and FPGA).
Communication skill and problem solving skill.

Contains bad word ""US Citizen"". Skipping this job!
",Skipped,Not Available
